Time,Error_File,Error_Function,Error_Level,Error_Message
[2023-03-13 18:49:02], [setting_params copy], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
[2023-03-13 18:49:32], [setting_params copy], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
[2023-03-13 18:49:53], [setting_params copy], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
[2023-03-13 18:50:31], [setting_params copy], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
[2023-03-13 18:50:50], [setting_params copy], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
[2023-03-13 18:59:01], [setting_params copy], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
[2023-03-13 19:10:27], [setting_params copy], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
[2023-03-13 19:10:43], [setting_params copy], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
[2023-03-27 09:59:12], [/Users/pawat], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
[2023-03-27 10:00:17], [/Users/pawat], [__init__], [ERROR], config/main.json doesn't exist. Please, select the file again!
